timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.109,0.111,-1.4
9,0.403,0.405,-0.4
10,0.703,0.706,-0.3
11,1.003,1.006,-0.2
12,1.005,1.007,-0.3
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.057,0.057,0.4
9,0.357,0.347,2.8
10,0.657,0.638,3.0
11,0.957,0.928,3.1
12,1.006,0.976,3.1
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.181,0.208,-12.7
9,0.481,0.549,-12.3
10,0.781,0.890,-12.2
11,1.005,1.145,-12.2
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.228,0.193,17.7
9,0.528,0.446,18.3
10,0.828,0.699,18.4
11,1.003,0.847,18.4
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.110,0.111,-1.3
8,0.410,0.411,-0.4
9,0.710,0.712,-0.3
10,1.006,1.008,-0.2
